Employee_ID,Hire_Date,Age,Gender,Marital_Status,Region,Education_Level,Department,Employment_Type,Shift,Tenure_Years,Monthly_Salary_PHP,Performance_Score,Performance_Rating,Training_Hours_YTD,Absences_YTD,Overtime_Hours_Monthly,Distance_Office_KM,Job_Satisfaction_Score,Work_Life_Balance_Score,Num_Promotions,Prev_Companies,Attrition
EMP01878,2023-10-06,31,Female,Single,NCR,Bachelor,IT,Regular,Afternoon,9.1,54500,5,Outstanding,56,6,17,14,5.7,5.3,3,1,0
EMP05886,2013-04-05,50,Female,Married,NCR,Master,Customer Service,Regular,Morning,21.9,47000,3.1,Meets Expectations,37,10,18,4,3.6,,4,5,0
EMP03485,2013-02-07,39,Male,Single,Region VII,Bachelor,Finance,Contractual,Night,9.9,46000,3.8,Exceeds Expectations,42,8,20,211,5.2,5.9,2,0,0
EMP03289,2022-01-07,55,Female,Married,Region XI,Vocational,Finance,Contractual,Graveyard,17.3,,4,Exceeds Expectations,42,7,23,500,4.6,2.3,4,2,1
EMP01812,2020-01-26,39,Female,Separated,CAR,Master,Customer Service,Regular,Night,18.8,56500,1,Needs Improvement,30,19,30,450,2.4,4,1,2,1
EMP01249,2020-10-21,58,Female,Single,NCR,PhD,Compliance,Contractual,Night,13.8,78500,3.3,Meets Expectations,34,19,6,14,2,4,3,3,1
EMP04299,2013-06-05,58,Male,Widowed,NCR,Bachelor,Sales,Regular,Morning,20.4,51000,4.1,Exceeds Expectations,62,8,29,4,3.5,6.7,6,3,0
EMP01107,2009-06-26,43,Male,Single,NCR,Bachelor,Sales,Regular,Graveyard,14.1,35000,5,Outstanding,,13,23,10,6.7,2,5,0,0
EMP01280,2012-02-12,34,Male,Single,Region IV-A,Bachelor,Marketing,Project-based,Morning,4.5,36000,1,Needs Improvement,23,14,14,28,2.9,6.3,0,0,1
EMP02282,2016-08-17,51,Female,Married,Region III,Bachelor,IT,Contractual,Night,13.1,62500,3.2,Meets Expectations,46,11,14,74,6.2,7.2,3,1,0
EMP03823,2015-10-06,52,Male,Married,NCR,Vocational,IT,Contractual,Night,13.4,44500,4.1,Exceeds Expectations,52,10,15,5,4.4,4.8,4,4,0
EMP05160,2020-11-29,50,Male,Single,Region III,High School,HR,Regular,Afternoon,23.3,46500,3.1,Meets Expectations,33,9,9,24,3.8,6.5,4,0,0
EMP04755,2022-10-07,58,Female,Single,NCR,Vocational,SALES,Contractual,Morning,9.7,34500,4.4,Exceeds Expectations,53,11,35,8,5.5,3.2,2,1,0
EMP04971,2010-02-01,37,Male,Married,NCR,Vocational,Compliance,Regular,Graveyard,13.1,41000,2.6,Meets Expectations,20,22,16,14,4.1,3.1,2,0,1
EMP01334,2021-05-06,46,Male,Single,Region I,Bachelor,Operations,Contractual,Afternoon,9.2,34500,4.4,Exceeds Expectations,62,8,12,232,4.9,4.3,2,5,1
EMP04065,2016-05-14,41,Female,Widowed,Region XI,Bachelor,IT,Regular,Morning,18.1,53500,4,Exceeds Expectations,40,8,13,500,6.9,4.8,4,1,0
EMP01502,2012-01-02,40,Male,Married,Region III,High School,HR,Contractual,Afternoon,7.8,26000,1,Needs Improvement,24,19,12,36,1,4.6,0,1,1
EMP03093,2014-06-01,58,Female,Separated,Region XI,Vocational,Operations,Project-based,Afternoon,9.6,29000,2.8,Meets Expectations,29,18,14,500,3.1,5.3,1,0,1
EMP04254,2021-05-01,58,Female,Married,NCR,Bachelor,Operations,Regular,Afternoon,21.9,43000,3.2,Meets Expectations,31,12,19,6,3.1,7.7,4,1,0
EMP02478,2019-10-19,44,Male,Single,Region I,Bachelor,Marketing,Regular,Morning,19,52500,4.2,Exceeds Expectations,45,7,12,280,1.4,6.6,5,0,0
EMP05450,2016-11-29,57,Male,Married,NCR,Master,Marketing,Regular,Morning,29.1,71500,4.3,Exceeds Expectations,43,9,14,10,4.3,4.2,8,2,0
EMP03548,2012-08-25,39,Male,Married,Region IV-A,Bachelor,Sales,Regular,Afternoon,15.1,37500,2.7,Meets Expectations,42,10,11,55,5,6.3,2,0,0
EMP03842,2023-10-10,51,Female,Single,CAR,Bachelor,Marketing,Regular,Graveyard,24.5,54000,5,Outstanding,67,10,23,305,5.8,3.4,8,1,1
EMP02159,2020-05-18,31,Male,Married,Region VI,Bachelor,Customer Service,Regular,Graveyard,8.2,30000,3,Meets Expectations,26,10,22,364,5.6,4.4,1,1,1
EMP05669,2020-10-30,36,Female,Married,Region I,Bachelor,IT,Regular,Afternoon,16.8,57000,4.8,Outstanding,61,6,32,203,6.8,4.3,5,6,0
EMP01860,2010-02-01,51,Female,Married,Region XI,Bachelor,Operations,Regular,Night,23.6,36000,4.4,Exceeds Expectations,38,14,26,197,5.9,5.3,6,1,0
EMP03687,2008-04-03,58,Female,Single,Region VII,Bachelor,Operations,Regular,Afternoon,22.7,41500,3.4,Meets Expectations,36,10,11,281,6.7,5.6,5,2,0
EMP05480,2018-11-21,37,Male,Married,Region VII,Vocational,HR,Contractual,Afternoon,8,31500,4.9,Outstanding,54,6,30,107,6.9,4,3,1,0
EMP04571,2020-01-31,26,Male,Separated,Region III,Vocational,Sales,Regular,Morning,5.3,24500,2.6,Meets Expectations,46,15,11,26,4.1,2.3,1,3,1
EMP02336,2019-11-27,42,Female,Single,Region XI,Bachelor,IT,Project-based,Night,8,50000,1.3,Needs Improvement,29,17,14,500,3.1,5.7,1,1,1
EMP04687,2021-04-25,38,Male,Single,Region III,Bachelor,Customer Service,Contractual,Morning,7.9,30500,1.5,Needs Improvement,16,15,20,62,1.8,4.5,0,7,1
EMP03446,2018-04-01,55,Female,Single,Region III,High School,Sales,Regular,Morning,17.7,32000,3,Meets Expectations,46,12,6,44,3.9,5.6,3,2,0
EMP03537,2021-09-06,58,Female,Married,Region I,Bachelor,Marketing,Regular,Afternoon,28.4,60000,3.6,Exceeds Expectations,55,9,25,270,2.8,6,6,2,0
EMP03084,2014-12-15,47,Female,Single,Region IV-A,Vocational,Customer Service,Project-based,Afternoon,8.2,37000,3.7,Exceeds Expectations,,15,20,35,1.3,7.2,2,1,1
EMP02808,2018-09-01,52,Female,Separated,Region III,High School,Operations,Project-based,Afternoon,7.9,24500,4.1,Exceeds Expectations,57,13,18,40,4.8,4.9,2,2,1
EMP03585,2021-02-28,57,Female,Single,NCR,Vocational,HR,Regular,Night,28.6,44500,1.3,Needs Improvement,13,19,18,,1,5.1,2,1,1
EMP04631,2019-02-04,51,Female,Single,Region IV-A,Vocational,Marketing,Project-based,Afternoon,10.1,40000,1.4,Needs Improvement,33,13,14,25,1,5.7,1,3,1
EMP05120,2022-05-31,30,Female,Separated,Region IV-A,High School,IT,Contractual,Night,5.8,38000,2.6,Meets Expectations,28,20,4,59,,7.7,1,1,1
EMP01297,2018-10-18,49,Female,Single,Region XI,Master,Marketing,Project-based,Night,10.3,55500,5,Outstanding,47,8,15,500,,6.3,3,3,1
